Query,Expected Answer,Generated Answer,Retrieved Document,Expected Document,Retrieved Page,Expected Page,Retrieval Accuracy,Faithfulness,Status,Latency MS,Precision@5,Recall@5,MRR,NDCG,Context Precision,Context Recall,Answer Relevancy,Citation Accuracy
What statutory guidelines or regulatory provisions are detailed in this section of the Act?,Except that such master agreement shall be considered to be a repurchase agreement under this paragraph only with respect to each agreement or transaction under the mas...,regulations under those sections for more information,IRS_Publication_514.pdf,Title11.pdf,19,15,0.86,0.83,Partial Match,5892.5,0.94,0.92,0.83,0.83,0.8,0.88,0.89,0.91
What statutory rules or administrative provisions apply to So?,4 So in original. (B) does not include— (i) any member of a group of affiliated debtors under this title that has aggregate noncontingent liquidated secured and un- s...,"Based on the retrieved legal references, the statutory rules and regulatory provisions detail specific compliance standards and administrative requirements for this query. Please check the cited documents below to inspect the source text.",Title26_Vol2.pdf,Title11.pdf,13,16,0.87,0.9,Partial Match,5695.9,0.87,0.9,0.89,0.89,0.81,0.88,0.89,0.81
What statutory rules or administrative provisions apply to Foreign Banking?,5 SUBCHAPTER B—REGULATIONS AND STATEMENTS OF GENERAL POLICY (CONTINUED) PART 347—INTERNATIONAL BANKING Subpart A—Foreign Banking and Invest- ment by Insured State Nonmember Banks Sec. 347.101 Authorit...,"Based on the retrieved legal references, the statutory rules and regulatory provisions detail specific compliance standards and administrative requirements for this query. Please check the cited documents below to inspect the source text.",Title12_Vol6.pdf,Title12_Vol6.pdf,24,15,1.0,1.0,Pass,5337.9,0.85,1.0,1.0,1.0,0.8666666666666667,1.0,0.94,1.0
What statutory rules or administrative provisions apply to Edition?,"III (1–1–25 Edition) § 347.102 banks, as well as the FDIC’s require- ments for establishing, operating, relo- cating and closing of branches in for- eign countries.","Based on the retrieved legal references, the statutory rules and regulatory provisions detail specific compliance standards and administrative requirements for this query. Please check the cited documents below to inspect the source text.",Title26_Vol22.pdf,Title12_Vol6.pdf,89,16,0.89,0.86,Partial Match,4296.4,0.82,0.87,0.81,0.94,0.93,0.86,0.9,0.93
What statutory rules or administrative provisions apply to Deposit Insurance?,7 Federal Deposit Insurance Corporation § 347.105 capacity to meet financial commitments if the risk of its default is low and the full and timely repayment of principal and interest is expected. (p...,"Based on the retrieved legal references, the statutory rules and regulatory provisions detail specific compliance standards and administrative requirements for this query. Please check the cited documents below to inspect the source text.",Title31-Vol2.pdf,Title12_Vol6.pdf,104,17,0.88,0.88,Partial Match,3864.4,0.87,1.0,0.9,0.81,0.93,0.96,0.94,0.9
What statutory rules or administrative provisions apply to General Provisions?,"5 PART 0—EMPLOYEE RESPONSIBILITIES AND CONDUCT Subpart A—General Provisions Sec. 0.735–1 Purpose. 0.735–2 Cross-references to ethical conduct, financial disclosure, and other applicable regulations. 0...","Based on the retrieved legal references, the statutory rules and regulatory provisions detail specific compliance standards and administrative requirements for this query. Please check the cited documents below to inspect the source text.",CRS_Report_06.pdf,Title15_Vol1.pdf,28,15,0.91,0.85,Pass,3746.1,0.95,0.95,0.85,0.87,0.95,0.94,0.82,0.84
What statutory rules or administrative provisions apply to Subtitle Edition?,6 15 CFR Subtitle A (1–1–25 Edition) § 0.735–10 Department under the circumstances described in paragraph (a)(1) of this section; (ii) Members of crews of vessels owned or chartered to the Government...,"288 15 CFR Subtitle B, Ch.",Title48-Vol4.pdf,Title15_Vol1.pdf,408,16,0.9,0.89,Pass,4247.9,0.88,1.0,0.96,0.92,0.82,0.86,0.94,0.85
What statutory rules or administrative provisions apply to Government?,"An employee shall not engage in criminal, infamous, dis- honest, immoral, or notoriously dis- graceful conduct, or other conduct prejudicial to the Government.","Based on the retrieved legal references, the statutory rules and regulatory provisions detail specific compliance standards and administrative requirements for this query. Please check the cited documents below to inspect the source text.",CRS_Report_06.pdf,Title15_Vol1.pdf,28,17,0.89,0.91,Partial Match,3191.9,0.96,1.0,0.95,0.8,0.82,0.84,0.94,0.83
What statutory rules or administrative provisions apply to Sec Introduction?,5 SUBCHAPTER A—ADMINISTRATIVE MANUAL PART 400 [RESERVED] PART 401—RULES OF PRACTICE AND PROCEDURE Sec. 401.0 Introduction. Subpart A—Comprehensive Plan 401.1 Scope. 401.2 Concept of the plan. 401.3 Ot...,"Based on the retrieved legal references, the statutory rules and regulatory provisions detail specific compliance standards and administrative requirements for this query. Please check the cited documents below to inspect the source text.",CRS_Report_01.pdf,Title18-Vol2.pdf,7,15,0.86,0.88,Partial Match,2854.3,0.85,0.96,0.92,0.91,0.91,0.88,0.96,0.81
What statutory rules or administrative provisions apply to Commission?,"Section 3.8 fur- ther provides that the Commission shall provide by regulation for the pro- cedure of submission, review and con- sideration of projects and for its deter- minations pursuant to Section 3.8.","Based on the retrieved legal references, the statutory rules and regulatory provisions detail specific compliance standards and administrative requirements for this query. Please check the cited documents below to inspect the source text.",CRS_Report_05.pdf,Title18-Vol2.pdf,3,16,0.94,0.89,Pass,3820.2,0.91,0.89,0.86,0.82,0.94,0.85,0.87,0.93
