row_number,query,expected_answer,source_document,page_number,category,citation,difficulty,tags,notes,status,query_length,answer_length
2,What statutory guidelines or regulatory provisions are detailed in this section of the Act?,Except that such master agreement shall be considered to be a repurchase agreement under this paragraph only with respect to each agreement or transaction under the mas...,Title11.pdf,15,Acts,Page 15,,,,valid,91,171
3,What statutory rules or administrative provisions apply to So?,4 So in original. (B) does not include— (i) any member of a group of affiliated debtors under this title that has aggregate noncontingent liquidated secured and un- s...,Title11.pdf,16,Acts,Page 16,,,,valid,62,169
4,What statutory rules or administrative provisions apply to Foreign Banking?,5 SUBCHAPTER B—REGULATIONS AND STATEMENTS OF GENERAL POLICY (CONTINUED) PART 347—INTERNATIONAL BANKING Subpart A—Foreign Banking and Invest- ment by Insured State Nonmember Banks Sec. 347.101 Authorit...,Title12_Vol6.pdf,15,Acts,Page 15,,,,valid,75,203
5,What statutory rules or administrative provisions apply to Edition?,"III (1–1–25 Edition) § 347.102 banks, as well as the FDIC’s require- ments for establishing, operating, relo- cating and closing of branches in for- eign countries.",Title12_Vol6.pdf,16,Acts,Title 12 U.S.C. § 347.102,,,,valid,67,164
6,What statutory rules or administrative provisions apply to Deposit Insurance?,7 Federal Deposit Insurance Corporation § 347.105 capacity to meet financial commitments if the risk of its default is low and the full and timely repayment of principal and interest is expected. (p...,Title12_Vol6.pdf,17,Acts,Title 12 U.S.C. § 347.105,,,,valid,77,201
7,What statutory rules or administrative provisions apply to General Provisions?,"5 PART 0—EMPLOYEE RESPONSIBILITIES AND CONDUCT Subpart A—General Provisions Sec. 0.735–1 Purpose. 0.735–2 Cross-references to ethical conduct, financial disclosure, and other applicable regulations. 0...",Title15_Vol1.pdf,15,Acts,Page 15,,,,valid,78,203
8,What statutory rules or administrative provisions apply to Subtitle Edition?,6 15 CFR Subtitle A (1–1–25 Edition) § 0.735–10 Department under the circumstances described in paragraph (a)(1) of this section; (ii) Members of crews of vessels owned or chartered to the Government...,Title15_Vol1.pdf,16,Acts,Title 15 U.S.C. § 0.735,,,,valid,76,202
9,What statutory rules or administrative provisions apply to Government?,"An employee shall not engage in criminal, infamous, dis- honest, immoral, or notoriously dis- graceful conduct, or other conduct prejudicial to the Government.",Title15_Vol1.pdf,17,Acts,Page 17,,,,valid,70,159
10,What statutory rules or administrative provisions apply to Sec Introduction?,5 SUBCHAPTER A—ADMINISTRATIVE MANUAL PART 400 [RESERVED] PART 401—RULES OF PRACTICE AND PROCEDURE Sec. 401.0 Introduction. Subpart A—Comprehensive Plan 401.1 Scope. 401.2 Concept of the plan. 401.3 Ot...,Title18-Vol2.pdf,15,Acts,Page 15,,,,valid,76,203
11,What statutory rules or administrative provisions apply to Commission?,"Section 3.8 fur- ther provides that the Commission shall provide by regulation for the pro- cedure of submission, review and con- sideration of projects and for its deter- minations pursuant to Section 3.8.",Title18-Vol2.pdf,16,Acts,Title 18 U.S.C. § 3.8,,,,valid,70,206
12,What statutory rules or administrative provisions apply to Basin Compact?,"Projects of the federal agencies af- fecting the water resources of the Basin, subject to the limitations in Section 1.4 of the Compact, shall be governed by Section 11.1 of the Com- pact.",Title18-Vol2.pdf,17,Acts,Title 18 U.S.C. § 1.4,,,,valid,73,188
13,What statutory rules or administrative provisions apply to March?,"Para- graphs (a), (b), and (c) of this section apply to returns for periods beginning after March 31, 2013.",Title26_Vol18.pdf,16,Acts,Page 16,,,,valid,65,107
14,What statutory rules or administrative provisions apply to Is?,"7 Internal Revenue Service, Treasury § 40.6060–1 for a monthly or semimonthly period in the manner prescribed in paragraph (b)(1) of this section if the person— (i) Is a bonded registrant (as defined...",Title26_Vol18.pdf,17,Acts,Title 26 U.S.C. § 40.6060,,,,valid,62,202
15,What statutory rules or administrative provisions apply to Definition Gross?,"5 SUBCHAPTER A—INCOME TAX (CONTINUED) PART 1—INCOME TAXES (CONTINUED) COMPUTATION OF TAXABLE INCOME Definition of Gross Income, Adjusted Gross Income, and Taxable Income Sec. 1.61–1 Gross income. 1.61...",Title26_Vol2.pdf,15,Acts,Page 15,,,,valid,76,203
16,What income items are excluded from gross income calculations under this section?,ITEMS SPECIFICALLY EXCLUDED FROM GROSS INCOME 1.101–1 Exclusion from gross income of pro- ceeds of life insurance contracts payable by reason of death.,Title26_Vol2.pdf,16,Acts,Page 16,,,,valid,81,151
17,What statutory rules or administrative provisions apply to Statutory Notice?,"7 Internal Revenue Service, Treasury § 1.61–1 1.120–1 Statutory subsistence allowance re- ceived by police. 1.120–3 Notice of application for recognition of status of qualified group legal services pl...",Title26_Vol2.pdf,17,Acts,Title 26 U.S.C. § 1.61,,,,valid,76,203
18,What statutory rules or administrative provisions apply to Requirements?,"REQUIREMENTS FOR ALCOHOL, TOBACCO, AND FIREARMS ACTIVITIES 601.521 Requirements for conference and representation in conference.",Title26_Vol22.pdf,15,Acts,Page 15,,,,valid,72,128
19,What statutory rules or administrative provisions apply to Code Code?,"Reference to sections of the Code are references to the Internal Revenue Code of 1954, unless otherwise expressly indicated.",Title26_Vol22.pdf,16,Acts,Page 16,,,,valid,69,124
20,What statutory rules or administrative provisions apply to Exempt Organizations?,5 SUBCHAPTER A—INCOME TAX (CONTINUED) PART 1—INCOME TAXES (CONTINUED) NORMAL TAXES AND SURTAXES (CONTINUED) Exempt Organizations General Rule Sec. 1.501(a)–1 Exemption from taxation. 1.501(c)(2)–1 Cor...,Title26_Vol9.pdf,15,Acts,Page 15,,,,valid,80,203
21,What statutory rules or administrative provisions apply to Ch Edition?,"6 26 CFR Ch. I (4–1–24 Edition) Pt. 1 1.507–2 Special rules; transfer to, or oper- ation as, public charity. 1.507–3 Special rules; transferee founda- tions. 1.507–4 Imposition of tax. 1.507–5 Aggrega...",Title26_Vol9.pdf,16,Acts,Page 16,,,,valid,70,203
22,What statutory rules or administrative provisions apply to Corporations Improperly?,CORPORATIONS USED TO AVOID INCOME TAX ON SHAREHOLDERS Corporations Improperly Accumulating Surplus 1.531–1 Imposition of tax.,Title26_Vol9.pdf,17,Acts,Page 17,,,,valid,83,125
23,What statutory rules or administrative provisions apply to Scope Regulations?,"5 SUBCHAPTER B—TOBACCO PART 40—MANUFACTURE OF TO- BACCO PRODUCTS, CIGARETTE PAPERS AND TUBES, AND PROC- ESSED TOBACCO Subpart A—Scope of Regulations Sec. 40.1 Manufacture of tobacco products, ciga- re...",Title27-Vol2.pdf,15,Acts,Page 15,,,,valid,77,203
24,What statutory rules or administrative provisions apply to Alcohol Tobacco?,"7 Alcohol and Tobacco Tax and Trade Bureau, Treasury Pt. 40 Changes After Original Qualification 40.395 Change in name. 40.396 Change in proprietorship. 40.397 Change in location. Bonds and Extensions...",Title27-Vol2.pdf,17,Acts,Page 17,,,,valid,75,203
25,What statutory rules or administrative provisions apply to Employee Responsibilities?,7 PART 100—ADMINISTRATIVE REGULATIONS Subpart A—Employee Responsibilities and Conduct Sec. 100.101 Cross—reference to financial disclo- sure requirements and other conduct rules. Subpart B—Cooperation...,Title29_Vol2.pdf,17,Acts,Page 17,,,,valid,85,203
26,What statutory rules or administrative provisions apply to Agen Agency?,"Such cooperation shall include, among other things, responding to requests for in- formation, providing statements under oath relating to such audits or inves- tigations, and affording access to Agen- cy records and/or any other Agency materials in an employee’s possession.",Title29_Vol2.pdf,18,Acts,Page 18,,,,valid,71,274
